SummaryId,SampleType,MeanLoss,SDLoss
1,1,15258.891977,38465.716501
2,1,54793.293906,138126.891056
3,1,11097.375939,27975.066501
4,1,2080.757985,5245.324965
5,1,17339.649879,43711.041378
6,1,48551.019906,122390.916110
7,1,6242.273988,15735.974929
8,1,21501.165879,54201.691342
9,1,29130.611953,73434.549680
10,1,29824.197953,75182.991341
1,2,14940.773352,42572.469685
2,2,53929.959775,153031.969109
3,2,10939.078579,30831.272077
4,2,2042.802188,5785.502824
5,2,16889.927418,48071.816607
6,2,48155.918911,134821.658036
7,2,6115.324515,17339.078721
8,2,21392.477627,60555.715384
9,2,28890.503077,80755.129040
10,2,29387.891901,83630.315926
