GroupPeriod,Period,group_event_set_id
1,711,1
3,487,1
4,572,1
6,151,1
7,21,1
8,749,1
9,78,1
10,522,1
12,511,1
13,119,1
16,311,1
17,450,1
20,366,1
21,118,1
23,662,1
24,986,1
25,981,1
27,458,1
28,419,1
29,859,1
30,679,1
31,842,1
32,738,1
33,323,1
36,882,1
37,481,1
38,164,1
39,263,1
40,658,1
42,225,1
44,193,1
45,332,1
47,548,1
48,949,1
49,575,1
54,9,1
56,879,1
57,516,1
58,764,1
59,70,1
60,559,1
63,656,1
64,10,1
65,368,1
66,786,1
67,397,1
68,224,1
69,240,1
70,464,1
71,194,1
72,629,1
73,801,1
74,219,1
75,627,1
76,20,1
78,322,1
79,393,1
80,191,1
81,413,1
82,792,1
85,293,1
86,56,1
87,325,1
88,916,1
91,212,1
92,674,1
94,930,1
95,188,1
96,313,1
97,701,1
98,6,1
100,407,1
101,648,1
102,190,1
103,819,1
104,894,1
105,146,1
106,171,1
108,454,1
109,569,1
110,371,1
111,432,1
112,881,1
113,635,1
114,189,1
115,803,1
117,274,1
118,381,1
119,369,1
120,719,1
122,541,1
123,435,1
124,813,1
127,554,1
129,960,1
130,955,1
131,348,1
132,38,1
133,989,1
134,943,1
136,616,1
140,570,1
141,384,1
142,466,1
143,682,1
145,423,1
146,181,1
147,524,1
148,810,1
149,632,1
151,953,1
153,583,1
154,993,1
155,296,1
157,984,1
158,759,1
161,839,1
162,152,1
164,86,1
165,195,1
166,303,1
167,617,1
168,926,1
169,809,1
170,258,1
172,965,1
173,211,1
174,623,1
175,698,1
176,964,1
177,950,1
178,187,1
179,310,1
180,234,1
181,563,1
183,290,1
184,161,1
185,552,1
186,358,1
187,783,1
188,890,1
189,692,1
190,873,1
191,639,1
192,653,1
193,85,1
194,937,1
195,158,1
196,447,1
197,657,1
198,312,1
199,129,1
200,59,1
201,160,1
203,547,1
204,765,1
208,705,1
210,333,1
211,148,1
213,428,1
214,248,1
215,424,1
217,914,1
220,938,1
221,57,1
222,402,1
224,238,1
226,614,1
227,474,1
228,710,1
230,404,1
231,63,1
232,32,1
233,147,1
234,728,1
235,720,1
236,336,1
237,615,1
238,441,1
240,216,1
241,785,1
244,978,1
245,427,1
246,661,1
247,377,1
248,420,1
249,262,1
250,326,1
251,526,1
253,571,1
254,918,1
255,25,1
256,243,1
257,257,1
258,492,1
259,150,1
261,915,1
262,135,1
263,956,1
264,683,1
265,666,1
266,536,1
267,804,1
268,567,1
269,519,1
270,165,1
271,49,1
273,852,1
274,586,1
276,673,1
277,716,1
278,736,1
279,889,1
280,794,1
281,898,1
283,94,1
285,936,1
286,924,1
288,2,1
290,534,1
291,905,1
293,597,1
297,184,1
298,853,1
299,1000,1
300,973,1
301,565,1
303,341,1
305,406,1
306,999,1
308,5,1
309,465,1
310,199,1
311,352,1
312,299,1
313,676,1
314,175,1
315,425,1
316,302,1
317,560,1
318,613,1
319,241,1
324,690,1
325,473,1
326,210,1
327,116,1
328,436,1
330,288,1
332,909,1
333,254,1
334,722,1
335,276,1
337,383,1
338,539,1
340,771,1
342,305,1
343,942,1
344,267,1
345,201,1
346,558,1
347,795,1
349,278,1
350,508,1
354,816,1
355,734,1
356,206,1
357,603,1
358,8,1
360,53,1
361,825,1
362,638,1
365,60,1
366,598,1
367,285,1
368,857,1
369,107,1
370,800,1
371,731,1
372,103,1
373,375,1
374,7,1
375,291,1
376,374,1
378,540,1
379,316,1
380,456,1
383,557,1
384,718,1
385,934,1
386,625,1
387,27,1
388,581,1
389,61,1
391,578,1
392,268,1
394,421,1
395,647,1
396,174,1
399,239,1
400,117,1
401,513,1
403,231,1
404,850,1
405,125,1
406,284,1
407,773,1
408,351,1
410,37,1
412,361,1
413,549,1
414,509,1
415,877,1
416,346,1
417,858,1
418,607,1
419,762,1
420,422,1
421,584,1
423,55,1
424,691,1
425,133,1
426,793,1
427,797,1
428,878,1
429,182,1
430,887,1
431,434,1
432,153,1
433,823,1
434,612,1
437,770,1
438,250,1
440,694,1
443,931,1
444,295,1
445,531,1
447,50,1
448,68,1
449,751,1
450,939,1
452,717,1
453,641,1
456,821,1
459,491,1
461,30,1
462,618,1
463,525,1
465,538,1
466,555,1
467,106,1
468,622,1
469,680,1
470,335,1
471,912,1
472,831,1
473,354,1
474,561,1
476,820,1
477,780,1
478,611,1
479,998,1
483,832,1
484,630,1
485,752,1
486,577,1
488,73,1
490,74,1
491,207,1
494,895,1
495,841,1
496,888,1
497,958,1
498,726,1
