,GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
0,1,711,1,1024,0,0.22733602
1,1,711,1,1025,0,0.31675833
2,3,487,1,697,0,0.7973655
3,3,487,1,699,0,0.39110956
4,6,151,1,217,0,0.59830874
5,7,21,1,35,0,0.672756
6,8,749,1,1088,0,0.94180286
7,8,749,1,1089,0,0.24824572
8,8,749,1,1090,0,0.94888115
9,9,78,1,117,0,0.66723746
10,9,78,1,118,0,0.095897935
11,10,522,1,739,0,0.44183967
12,12,511,1,725,0,0.8864799
13,12,511,1,726,0,0.6974535
14,13,119,1,167,0,0.32647288
15,17,450,1,649,0,0.22013496
16,20,366,1,509,0,0.08159457
17,20,366,1,511,0,0.3401002
18,21,118,1,165,0,0.46519315
19,23,662,1,950,0,0.8157764
20,24,986,1,1428,0,0.19329439
21,25,981,1,1420,0,0.12946908
22,25,981,1,1421,0,0.091664754
23,25,981,1,1422,0,0.598568
24,25,981,1,1423,0,0.85474193
25,27,458,1,659,0,0.93198836
26,27,458,1,660,0,0.72478133
27,28,419,1,597,0,0.8605513
28,29,859,1,1248,0,0.9293378
29,29,859,1,1249,0,0.54618603
30,30,679,1,978,0,0.937673
31,32,738,1,1065,0,0.2737732
32,32,738,1,1067,0,0.66503894
33,33,323,1,453,0,0.33089092
34,36,882,1,1277,0,0.903454
35,36,882,1,1278,0,0.25707418
36,36,882,1,1279,0,0.33982834
37,36,882,1,1280,0,0.2588534
38,37,481,1,689,0,0.3554465
39,37,481,1,690,0,0.005022334
40,37,481,1,691,0,0.62860453
41,39,263,1,370,0,0.616829
42,40,658,1,945,0,0.17632632
43,42,225,1,315,0,0.30438837
44,42,225,1,316,0,0.44088683
45,42,225,1,318,0,0.21792886
46,44,193,1,284,0,0.47636884
47,44,193,1,285,0,0.25523236
48,45,332,1,465,0,0.29756528
49,45,332,1,466,0,0.27906713
50,47,548,1,784,0,0.2605792
51,47,548,1,786,0,0.21197903
52,47,548,1,787,0,0.4956306
53,54,9,1,13,0,0.18013059
54,54,9,1,14,0,0.8621563
55,54,9,1,15,0,0.17829944
56,54,9,1,16,0,0.7505313
57,57,516,1,732,0,0.75987244
58,57,516,1,733,0,0.24926057
59,58,764,1,1109,0,0.08557173
60,58,764,1,1110,0,0.6180567
61,58,764,1,1111,0,0.53696835
62,59,70,1,106,0,0.6345267
63,60,559,1,802,0,0.1743741
64,63,656,1,943,0,0.684823
65,64,10,1,18,0,0.08087165
66,64,10,1,19,0,0.8750736
67,64,10,1,20,0,0.42869437
68,65,368,1,513,0,0.6183942
69,66,786,1,1143,0,0.17896286
70,67,397,1,557,0,0.21004295
71,67,397,1,558,0,0.87000066
72,68,224,1,313,0,0.9728298
73,68,224,1,314,0,0.44179234
74,69,240,1,334,0,0.2759471
75,72,629,1,899,0,0.16862884
76,73,801,1,1170,0,0.24014406
77,73,801,1,1171,0,0.78000784
78,78,322,1,450,0,0.28272167
79,78,322,1,451,0,0.2818303
80,78,322,1,452,0,0.08538129
81,79,393,1,552,0,0.48181367
82,80,191,1,280,0,0.8833429
83,80,191,1,281,0,0.9472278
84,81,413,1,587,0,0.027383722
85,81,413,1,588,0,0.91775227
86,81,413,1,589,0,0.12152453
87,82,792,1,1153,0,0.1679298
88,86,56,1,83,0,0.37815663
89,87,325,1,455,0,0.5162557
90,91,212,1,305,0,0.4226782
91,92,674,1,970,0,0.8776577
92,95,188,1,277,0,0.4840848
93,96,313,1,433,0,0.48122773
94,97,701,1,1008,0,0.7825715
95,98,6,1,6,0,0.96455956
96,98,6,1,7,0,0.70709646
97,98,6,1,8,0,0.27373672
98,100,407,1,575,0,0.6701133
99,100,407,1,576,0,0.3475348
100,100,407,1,577,0,0.76812786
101,101,648,1,928,0,0.6757714
102,102,190,1,279,0,0.86670977
103,103,819,1,1198,0,0.046108015
104,104,894,1,1300,0,0.2903237
105,105,146,1,208,0,0.8623911
106,105,146,1,209,0,0.60084784
107,105,146,1,210,0,0.34425795
108,106,171,1,251,0,0.7628727
109,108,454,1,651,0,0.0015187877
110,109,569,1,814,0,0.99350417
111,109,569,1,815,0,0.7760131
112,109,569,1,816,0,0.8682709
113,109,569,1,817,0,0.47715825
114,110,371,1,518,0,0.5339773
115,110,371,1,519,0,0.42583188
116,111,432,1,628,0,0.1630296
117,111,432,1,629,0,0.16587757
118,111,432,1,630,0,0.25815016
119,112,881,1,1276,0,0.9868069
120,113,635,1,908,0,0.7231574
121,114,189,1,278,0,0.7324978
122,115,803,1,1172,0,0.5173955
123,115,803,1,1173,0,0.17742631
124,115,803,1,1174,0,0.8776462
125,117,274,1,384,0,0.88039035
126,117,274,1,385,0,0.7095345
127,119,369,1,515,0,0.7575695
128,120,719,1,1037,0,0.6166185
129,122,541,1,772,0,0.11488907
130,122,541,1,773,0,0.31598848
131,124,813,1,1189,0,0.88687116
132,127,554,1,795,0,0.022070399
133,130,955,1,1386,0,0.17761211
134,130,955,1,1387,0,0.1469949
135,131,348,1,489,0,0.16584449
136,131,348,1,490,0,0.87695396
137,132,38,1,61,0,0.49447012
138,132,38,1,62,0,0.34090048
139,132,38,1,63,0,0.9992098
140,133,989,1,1430,0,0.5459749
141,133,989,1,1431,0,0.30333114
142,134,943,1,1369,0,0.6958669
143,136,616,1,879,0,0.12024657
144,140,570,1,818,0,0.8837676
145,140,570,1,819,0,0.47513115
146,142,466,1,675,0,0.14311478
147,143,682,1,984,0,0.7644117
148,143,682,1,985,0,0.4139833
149,143,682,1,986,0,0.619931
150,143,682,1,987,0,0.04377948
151,145,423,1,606,0,0.2038287
152,145,423,1,607,0,0.9811735
153,146,181,1,265,0,0.044549882
154,146,181,1,266,0,0.2153185
155,146,181,1,267,0,0.031399235
156,146,181,1,268,0,0.63953525
157,147,524,1,740,0,0.6531704
158,148,810,1,1184,0,0.3455215
159,148,810,1,1185,0,0.036354523
160,149,632,1,904,0,0.43501043
161,149,632,1,905,0,0.17132863
162,149,632,1,906,0,0.42672423
163,151,953,1,1383,0,0.37281024
164,151,953,1,1385,0,0.84164095
165,153,583,1,835,0,0.69261503
166,154,993,1,1438,0,0.4706452
167,155,296,1,410,0,0.39968532
168,157,984,1,1425,0,0.10903989
169,157,984,1,1426,0,0.60303855
170,158,759,1,1101,0,0.50415194
171,158,759,1,1102,0,0.9053811
172,162,152,1,219,0,0.86669624
173,162,152,1,220,0,0.49578974
174,162,152,1,223,0,0.53124255
175,162,152,1,224,0,0.8176968
176,162,152,1,225,0,0.15100636
177,164,86,1,126,0,0.90598977
178,166,303,1,416,0,0.28786325
179,166,303,1,417,0,0.8422146
180,167,617,1,881,0,0.65186787
181,167,617,1,882,0,0.96546495
182,168,926,1,1338,0,0.64208376
183,168,926,1,1339,0,0.9493329
184,168,926,1,1340,0,0.8268484
185,169,809,1,1181,0,0.674668
186,169,809,1,1182,0,0.18998775
187,169,809,1,1183,0,0.2135332
188,170,258,1,361,0,0.8630297
189,170,258,1,363,0,0.68643576
190,172,965,1,1396,0,0.45934877
191,173,211,1,303,0,0.01057504
192,173,211,1,304,0,0.8223224
193,174,623,1,892,0,0.31144947
194,175,698,1,1002,0,0.33713344
195,176,964,1,1394,0,0.071601905
196,177,950,1,1378,0,0.77861214
197,178,187,1,276,0,0.4777099
198,179,310,1,430,0,0.096723005
199,181,563,1,807,0,0.74888366
200,183,290,1,405,0,0.3663077
201,184,161,1,235,0,0.87613046
202,184,161,1,236,0,0.45681518
203,184,161,1,238,0,0.9768903
204,184,161,1,239,0,0.45590073
