group_set_id,output_set_id,SummaryId,GroupPeriod,Period,group_event_set_id,EventId,Loss,LossType
0,0,1,2,8,1,12,82485.88142138302,2
0,0,1,3,456,1,655,234781.44112680107,2
0,0,1,4,745,1,1081,79202.29473521363,2
0,0,1,4,745,1,1082,284012.60135167465,2
0,0,1,8,960,1,1391,26682.6792350183,2
0,0,1,9,331,1,463,204477.07867364492,2
0,0,1,12,465,1,674,422795.38852661103,2
0,0,1,13,771,1,1120,36414.428539399814,2
0,0,1,23,852,1,1239,5273.610249211751,2
0,0,1,29,577,1,830,562878.0900351554,2
0,0,1,35,887,1,1290,469608.25004854053,2
0,0,1,36,962,1,1392,117920.95148184057,2
0,0,1,39,769,1,1117,233976.60046233982,2
0,0,1,45,927,1,1342,8832.075143577531,2
0,0,1,46,50,1,74,85559.88191565499,2
0,0,1,47,376,1,524,85516.27333601937,2
0,0,1,49,505,1,718,128106.62122059427,2
0,0,1,50,53,1,79,258759.72169924155,2
0,0,1,52,599,1,855,27737.008873091712,2
0,0,1,54,62,1,92,119200.90589134814,2
0,0,1,56,828,1,1217,409392.86026644707,2
0,0,1,57,317,1,441,66547.23261169042,2
0,0,1,57,317,1,442,391755.5018698126,2
0,0,1,62,276,1,389,477719.1260468364,2
0,0,1,63,31,1,48,211409.84129612148,2
0,0,1,66,262,1,367,152010.84529908374,2
0,0,1,69,249,1,345,65188.19948833338,2
0,0,1,70,424,1,611,27439.179567192106,2
0,0,1,76,757,1,1097,1566.2856395890183,2
0,0,1,77,454,1,652,1125953.7156043872,2
0,0,1,79,949,1,1377,134998.85504338518,2
0,0,1,84,404,1,566,1930000.0,2
0,0,1,101,782,1,1137,374744.2166576702,2
0,0,1,102,329,1,460,431892.5415450707,2
0,0,1,104,19,1,32,83145.30757758065,2
0,0,1,104,19,1,33,222130.51300219033,2
0,0,1,105,712,1,1027,417726.7516683787,2
0,0,1,106,51,1,75,222551.28449352086,2
0,0,1,106,51,1,76,463836.41658860445,2
0,0,1,106,51,1,78,0.0,2
0,0,1,107,669,1,962,114883.81180409736,2
0,0,1,107,669,1,965,43.29187536533154,2
0,0,1,108,574,1,825,19315.71406938776,2
0,0,1,110,175,1,258,18658.781516345975,2
0,0,1,120,146,1,211,273483.25972636044,2
0,0,1,121,526,1,745,305694.5244117193,2
0,0,1,122,492,1,704,940036.7688810825,2
0,0,1,126,844,1,1231,1912405.1845000386,2
0,0,1,131,425,1,612,91472.58860904459,2
0,0,1,131,425,1,614,697770.4841219485,2
0,0,1,133,717,1,1031,239682.93088817596,2
0,0,1,135,581,1,834,503868.0556910932,2
0,0,1,136,629,1,898,275354.80114563555,2
