GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
1,557,1,799,0,0.22733602
2,8,1,12,0,0.31675833
3,456,1,655,0,0.7973655
4,745,1,1080,0,0.6762547
4,745,1,1081,0,0.39110956
4,745,1,1082,0,0.33281392
4,745,1,1083,0,0.59830874
8,960,1,1391,0,0.18673418
9,331,1,462,0,0.672756
9,331,1,463,0,0.94180286
9,331,1,464,0,0.24824572
11,291,1,406,0,0.94888115
11,291,1,407,0,0.66723746
12,465,1,672,0,0.095897935
12,465,1,673,0,0.44183967
12,465,1,674,0,0.8864799
13,771,1,1119,0,0.6974535
13,771,1,1120,0,0.32647288
13,771,1,1121,0,0.73392814
16,586,1,837,0,0.22013496
18,613,1,876,0,0.08159457
19,759,1,1101,0,0.1598956
19,759,1,1102,0,0.3401002
20,243,1,338,0,0.46519315
21,537,1,765,0,0.26642102
22,383,1,541,0,0.8157764
22,383,1,542,0,0.19329439
23,852,1,1238,0,0.12946908
23,852,1,1239,0,0.091664754
24,594,1,840,0,0.598568
25,531,1,752,0,0.85474193
25,531,1,753,0,0.60162127
26,312,1,432,0,0.93198836
27,810,1,1184,0,0.72478133
27,810,1,1185,0,0.8605513
29,577,1,829,0,0.9293378
29,577,1,830,0,0.54618603
30,568,1,813,0,0.937673
31,674,1,970,0,0.49498793
34,107,1,150,0,0.2737732
34,107,1,151,0,0.4517787
34,107,1,152,0,0.66503894
35,887,1,1289,0,0.33089092
35,887,1,1290,0,0.903454
36,962,1,1392,0,0.25707418
36,962,1,1393,0,0.33982834
37,736,1,1062,0,0.2588534
38,778,1,1128,0,0.3554465
38,778,1,1129,0,0.005022334
39,769,1,1117,0,0.62860453
41,18,1,29,0,0.2823827
41,18,1,30,0,0.06808769
45,927,1,1341,0,0.616829
45,927,1,1342,0,0.17632632
46,50,1,74,0,0.30438837
47,376,1,524,0,0.44088683
47,376,1,525,0,0.15020233
47,376,1,526,0,0.21792886
48,691,1,996,0,0.4743331
49,505,1,718,0,0.47636884
50,53,1,79,0,0.25523236
51,495,1,707,0,0.29756528
52,599,1,855,0,0.27906713
54,62,1,92,0,0.2605792
54,62,1,93,0,0.4827616
55,612,1,875,0,0.21197903
56,828,1,1215,0,0.4956306
56,828,1,1216,0,0.24626133
56,828,1,1217,0,0.8384827
57,317,1,441,0,0.18013059
57,317,1,442,0,0.8621563
58,567,1,812,0,0.17829944
59,787,1,1145,0,0.7505313
60,186,1,274,0,0.6111204
60,186,1,275,0,0.20915504
61,914,1,1321,0,0.75987244
62,276,1,387,0,0.24926057
62,276,1,388,0,0.08557173
62,276,1,389,0,0.6180567
63,31,1,48,0,0.53696835
63,31,1,49,0,0.6345267
63,31,1,50,0,0.1743741
64,684,1,991,0,0.24816449
65,112,1,154,0,0.684823
65,112,1,155,0,0.08087165
65,112,1,156,0,0.8750736
65,112,1,157,0,0.42869437
66,262,1,367,0,0.6183942
66,262,1,368,0,0.3131055
67,565,1,811,0,0.17896286
68,136,1,185,0,0.009712128
69,249,1,345,0,0.21004295
70,424,1,608,0,0.87000066
70,424,1,609,0,0.9728298
70,424,1,610,0,0.44179234
70,424,1,611,0,0.3787495
71,380,1,536,0,0.2759471
71,380,1,537,0,0.9661041
72,304,1,418,0,0.058202606
74,447,1,646,0,0.4087339
76,757,1,1096,0,0.16862884
76,757,1,1097,0,0.24014406
77,454,1,651,0,0.78000784
77,454,1,652,0,0.2037676
78,272,1,381,0,0.55205095
78,272,1,382,0,0.36699414
79,949,1,1377,0,0.5072817
80,30,1,47,0,0.3334378
82,655,1,941,0,0.28272167
83,428,1,623,0,0.2818303
84,404,1,566,0,0.08538129
84,404,1,567,0,0.48181367
85,279,1,391,0,0.8833429
86,265,1,371,0,0.9472278
88,715,1,1028,0,0.027383722
88,715,1,1029,0,0.91775227
93,923,1,1333,0,0.12152453
94,55,1,81,0,0.74784774
94,55,1,82,0,0.89652073
96,305,1,419,0,0.1679298
96,305,1,420,0,0.33146322
96,305,1,421,0,0.37815663
97,396,1,554,0,0.34684896
97,396,1,555,0,0.5162557
97,396,1,556,0,0.008994027
98,711,1,1024,0,0.4226782
98,711,1,1025,0,0.8776577
99,677,1,975,0,0.08740515
101,782,1,1136,0,0.4840848
101,782,1,1137,0,0.48122773
102,329,1,460,0,0.7825715
103,431,1,627,0,0.96455956
104,19,1,31,0,0.70709646
104,19,1,32,0,0.27373672
104,19,1,33,0,0.6701133
105,712,1,1026,0,0.3475348
105,712,1,1027,0,0.76812786
106,51,1,75,0,0.6757714
106,51,1,76,0,0.977532
106,51,1,77,0,0.86670977
106,51,1,78,0,0.046108015
107,669,1,959,0,0.2903237
107,669,1,960,0,0.8623911
107,669,1,961,0,0.60084784
107,669,1,962,0,0.34425795
107,669,1,963,0,0.055602577
107,669,1,964,0,0.7628727
107,669,1,965,0,0.0015187877
108,574,1,825,0,0.09284354
108,574,1,826,0,0.99350417
108,574,1,827,0,0.7760131
109,261,1,366,0,0.8682709
110,175,1,257,0,0.47715825
110,175,1,258,0,0.16884863
111,647,1,925,0,0.5339773
111,647,1,926,0,0.42583188
111,647,1,927,0,0.1630296
114,860,1,1250,0,0.16587757
114,860,1,1251,0,0.25815016
114,860,1,1252,0,0.9430916
115,125,1,171,0,0.9868069
116,701,1,1008,0,0.7036664
119,898,1,1306,0,0.7231574
119,898,1,1307,0,0.7324978
120,146,1,208,0,0.5173955
120,146,1,209,0,0.17742631
120,146,1,210,0,0.8776462
120,146,1,211,0,0.88039035
121,526,1,744,0,0.7095345
121,526,1,745,0,0.9334288
122,492,1,703,0,0.9799982
122,492,1,704,0,0.5034758
122,492,1,705,0,0.7575695
123,352,1,495,0,0.6166185
123,352,1,496,0,0.11488907
124,188,1,277,0,0.31598848
126,844,1,1230,0,0.0677339
126,844,1,1231,0,0.88687116
127,410,1,580,0,0.022070399
127,410,1,581,0,0.5372867
128,857,1,1245,0,0.17761211
128,857,1,1246,0,0.1469949
129,102,1,143,0,0.16584449
129,102,1,144,0,0.87695396
131,425,1,612,0,0.49447012
131,425,1,613,0,0.34090048
131,425,1,614,0,0.9992098
131,425,1,615,0,0.5459749
131,425,1,616,0,0.30333114
131,425,1,617,0,0.3706517
133,717,1,1031,0,0.6958669
133,717,1,1032,0,0.12024657
135,581,1,833,0,0.7582212
135,581,1,834,0,0.8837676
136,629,1,898,0,0.47513115
136,629,1,899,0,0.4373047
139,839,1,1225,0,0.14311478
139,839,1,1226,0,0.42274225
140,328,1,458,0,0.7644117
140,328,1,459,0,0.4139833
141,399,1,560,0,0.619931
141,399,1,561,0,0.04377948
143,181,1,265,0,0.21972537
143,181,1,266,0,0.2038287
143,181,1,267,0,0.9811735
143,181,1,268,0,0.044549882
144,296,1,410,0,0.2153185
145,99,1,140,0,0.031399235
147,643,1,921,0,0.63953525
148,82,1,120,0,0.6531704
148,82,1,121,0,0.3455215
150,236,1,329,0,0.036354523
150,236,1,330,0,0.43501043
151,706,1,1018,0,0.17132863
151,706,1,1019,0,0.42672423
152,763,1,1105,0,0.37281024
152,763,1,1106,0,0.22108634
152,763,1,1107,0,0.84164095
152,763,1,1108,0,0.69261503
153,915,1,1322,0,0.4706452
154,417,1,594,0,0.39968532
154,417,1,595,0,0.10903989
154,417,1,596,0,0.60303855
155,54,1,80,0,0.50415194
156,335,1,471,0,0.9053811
156,335,1,472,0,0.9689099
156,335,1,473,0,0.8095953
157,392,1,550,0,0.86669624
157,392,1,551,0,0.49578974
158,938,1,1359,0,0.37378222
158,938,1,1360,0,0.4789902
159,875,1,1268,0,0.53124255
159,875,1,1269,0,0.8176968
160,156,1,230,0,0.15100636
164,319,1,447,0,0.6005589
164,319,1,448,0,0.90598977
166,92,1,132,0,0.22246403
166,92,1,133,0,0.28786325
167,965,1,1396,0,0.8422146
168,535,1,759,0,0.65186787
168,535,1,760,0,0.96546495
168,535,1,761,0,0.64208376
169,333,1,467,0,0.9493329
170,225,1,315,0,0.8268484
170,225,1,316,0,0.674668
170,225,1,317,0,0.18998775
170,225,1,318,0,0.2135332
171,169,1,248,0,0.8630297
171,169,1,249,0,0.33392394
171,169,1,250,0,0.68643576
172,644,1,922,0,0.43537572
173,559,1,802,0,0.45934877
175,542,1,774,0,0.01057504
175,542,1,775,0,0.8223224
176,340,1,481,0,0.31144947
176,340,1,482,0,0.33713344
178,774,1,1124,0,0.071601905
179,540,1,771,0,0.62462705
180,661,1,949,0,0.77861214
181,397,1,557,0,0.5110413
181,397,1,558,0,0.4777099
182,652,1,935,0,0.7721071
183,358,1,502,0,0.096723005
183,358,1,503,0,0.54091835
184,270,1,380,0,0.74888366
185,693,1,999,0,0.3663077
185,693,1,1000,0,0.87613046
186,336,1,474,0,0.45681518
188,484,1,693,0,0.1158964
188,484,1,694,0,0.9768903
188,484,1,695,0,0.45590073
188,484,1,696,0,0.75278914
189,889,1,1292,0,0.0782532
190,293,1,408,0,0.80884045
192,248,1,343,0,0.15200032
192,248,1,344,0,0.12495629
193,480,1,688,0,0.2764363
194,130,1,175,0,0.42470738
194,130,1,176,0,0.48528567
194,130,1,177,0,0.4282925
194,130,1,178,0,0.03453953
195,919,1,1326,0,0.59703124
195,919,1,1327,0,0.7419593
195,919,1,1328,0,0.97875386
195,919,1,1329,0,0.55415994
195,919,1,1330,0,0.9318685
198,821,1,1203,0,0.9519661
