GroupPeriod,Period,group_event_set_id
1,557,1
2,8,1
3,456,1
4,745,1
8,960,1
9,331,1
11,291,1
12,465,1
13,771,1
16,586,1
18,613,1
19,759,1
20,243,1
21,537,1
22,383,1
23,852,1
24,594,1
25,531,1
26,312,1
27,810,1
29,577,1
30,568,1
31,674,1
34,107,1
35,887,1
36,962,1
37,736,1
38,778,1
39,769,1
41,18,1
45,927,1
46,50,1
47,376,1
48,691,1
49,505,1
50,53,1
51,495,1
52,599,1
54,62,1
55,612,1
56,828,1
57,317,1
58,567,1
59,787,1
60,186,1
61,914,1
62,276,1
63,31,1
64,684,1
65,112,1
66,262,1
67,565,1
68,136,1
69,249,1
70,424,1
71,380,1
72,304,1
74,447,1
76,757,1
77,454,1
78,272,1
79,949,1
80,30,1
82,655,1
83,428,1
84,404,1
85,279,1
86,265,1
88,715,1
93,923,1
94,55,1
96,305,1
97,396,1
98,711,1
99,677,1
101,782,1
102,329,1
103,431,1
104,19,1
105,712,1
106,51,1
107,669,1
108,574,1
109,261,1
110,175,1
111,647,1
114,860,1
115,125,1
116,701,1
119,898,1
120,146,1
121,526,1
122,492,1
123,352,1
124,188,1
126,844,1
127,410,1
128,857,1
129,102,1
131,425,1
133,717,1
135,581,1
136,629,1
139,839,1
140,328,1
141,399,1
143,181,1
144,296,1
145,99,1
147,643,1
148,82,1
150,236,1
151,706,1
152,763,1
153,915,1
154,417,1
155,54,1
156,335,1
157,392,1
158,938,1
159,875,1
160,156,1
164,319,1
166,92,1
167,965,1
168,535,1
169,333,1
170,225,1
171,169,1
172,644,1
173,559,1
175,542,1
176,340,1
178,774,1
179,540,1
180,661,1
181,397,1
182,652,1
183,358,1
184,270,1
185,693,1
186,336,1
188,484,1
189,889,1
190,293,1
192,248,1
193,480,1
194,130,1
195,919,1
198,821,1
200,955,1
201,371,1
203,205,1
204,416,1
205,533,1
206,195,1
207,700,1
208,673,1
210,788,1
211,800,1
212,768,1
213,511,1
214,932,1
215,469,1
217,966,1
218,509,1
219,73,1
223,6,1
224,61,1
225,719,1
226,831,1
227,610,1
228,372,1
229,549,1
230,150,1
231,733,1
232,637,1
235,998,1
236,853,1
237,997,1
239,676,1
240,510,1
242,602,1
243,116,1
244,999,1
245,869,1
246,764,1
247,86,1
248,129,1
249,972,1
250,653,1
251,978,1
252,494,1
254,543,1
255,240,1
256,229,1
257,38,1
258,597,1
260,114,1
261,659,1
262,884,1
263,803,1
264,858,1
265,131,1
267,318,1
269,556,1
270,916,1
271,749,1
273,26,1
274,692,1
276,411,1
277,931,1
278,751,1
280,532,1
281,516,1
282,155,1
283,167,1
284,840,1
285,631,1
286,799,1
288,59,1
289,529,1
290,135,1
291,67,1
293,334,1
294,435,1
296,544,1
297,278,1
298,687,1
299,121,1
300,382,1
301,260,1
302,154,1
303,251,1
304,247,1
305,752,1
306,37,1
308,953,1
309,370,1
310,63,1
313,694,1
315,201,1
316,753,1
317,297,1
318,667,1
319,791,1
321,434,1
322,108,1
324,681,1
325,316,1
326,72,1
328,792,1
329,722,1
330,827,1
331,460,1
332,934,1
334,728,1
335,614,1
336,814,1
338,455,1
339,807,1
340,650,1
341,390,1
344,489,1
346,621,1
348,463,1
350,552,1
352,182,1
353,561,1
354,160,1
355,630,1
356,794,1
357,405,1
358,252,1
359,604,1
361,71,1
362,864,1
363,720,1
364,710,1
365,823,1
366,968,1
367,68,1
368,859,1
369,738,1
371,103,1
373,920,1
374,528,1
376,883,1
377,682,1
378,387,1
379,238,1
380,426,1
381,842,1
382,77,1
383,481,1
384,672,1
385,538,1
387,786,1
388,384,1
389,984,1
390,163,1
391,862,1
392,106,1
394,339,1
396,234,1
397,158,1
399,360,1
400,406,1
402,303,1
403,441,1
404,640,1
405,829,1
406,462,1
407,27,1
410,571,1
412,35,1
413,555,1
416,670,1
417,970,1
419,212,1
421,793,1
422,325,1
423,583,1
424,419,1
426,926,1
427,967,1
429,401,1
430,632,1
431,351,1
432,939,1
433,731,1
434,193,1
436,313,1
438,698,1
441,250,1
442,210,1
443,282,1
444,525,1
445,971,1
446,743,1
447,1,1
448,879,1
450,554,1
451,118,1
453,851,1
454,483,1
455,882,1
456,412,1
459,327,1
460,295,1
461,230,1
462,726,1
463,266,1
464,716,1
465,216,1
467,930,1
468,367,1
470,187,1
472,623,1
473,945,1
474,423,1
475,398,1
476,707,1
477,725,1
480,263,1
482,346,1
485,826,1
486,362,1
488,536,1
489,285,1
490,877,1
491,662,1
