,GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
0,1,557,1,799,0,0.22733602
3,4,745,1,1080,0,0.6762547
6,4,745,1,1083,0,0.59830874
8,9,331,1,462,0,0.672756
10,9,331,1,464,0,0.24824572
11,11,291,1,406,0,0.94888115
12,11,291,1,407,0,0.66723746
13,12,465,1,672,0,0.095897935
14,12,465,1,673,0,0.44183967
16,13,771,1,1119,0,0.6974535
18,13,771,1,1121,0,0.73392814
19,16,586,1,837,0,0.22013496
20,18,613,1,876,0,0.08159457
21,19,759,1,1101,0,0.1598956
22,19,759,1,1102,0,0.3401002
23,20,243,1,338,0,0.46519315
24,21,537,1,765,0,0.26642102
25,22,383,1,541,0,0.8157764
26,22,383,1,542,0,0.19329439
27,23,852,1,1238,0,0.12946908
29,24,594,1,840,0,0.598568
30,25,531,1,752,0,0.85474193
31,25,531,1,753,0,0.60162127
32,26,312,1,432,0,0.93198836
33,27,810,1,1184,0,0.72478133
34,27,810,1,1185,0,0.8605513
35,29,577,1,829,0,0.9293378
37,30,568,1,813,0,0.937673
38,31,674,1,970,0,0.49498793
39,34,107,1,150,0,0.2737732
40,34,107,1,151,0,0.4517787
41,34,107,1,152,0,0.66503894
42,35,887,1,1289,0,0.33089092
45,36,962,1,1393,0,0.33982834
46,37,736,1,1062,0,0.2588534
47,38,778,1,1128,0,0.3554465
48,38,778,1,1129,0,0.005022334
50,41,18,1,29,0,0.2823827
51,41,18,1,30,0,0.06808769
52,45,927,1,1341,0,0.616829
56,47,376,1,525,0,0.15020233
57,47,376,1,526,0,0.21792886
58,48,691,1,996,0,0.4743331
61,51,495,1,707,0,0.29756528
64,54,62,1,93,0,0.4827616
65,55,612,1,875,0,0.21197903
66,56,828,1,1215,0,0.4956306
67,56,828,1,1216,0,0.24626133
71,58,567,1,812,0,0.17829944
72,59,787,1,1145,0,0.7505313
73,60,186,1,274,0,0.6111204
74,60,186,1,275,0,0.20915504
75,61,914,1,1321,0,0.75987244
76,62,276,1,387,0,0.24926057
77,62,276,1,388,0,0.08557173
80,63,31,1,49,0,0.6345267
81,63,31,1,50,0,0.1743741
82,64,684,1,991,0,0.24816449
83,65,112,1,154,0,0.684823
84,65,112,1,155,0,0.08087165
85,65,112,1,156,0,0.8750736
86,65,112,1,157,0,0.42869437
88,66,262,1,368,0,0.3131055
89,67,565,1,811,0,0.17896286
90,68,136,1,185,0,0.009712128
92,70,424,1,608,0,0.87000066
93,70,424,1,609,0,0.9728298
94,70,424,1,610,0,0.44179234
96,71,380,1,536,0,0.2759471
97,71,380,1,537,0,0.9661041
98,72,304,1,418,0,0.058202606
99,74,447,1,646,0,0.4087339
100,76,757,1,1096,0,0.16862884
102,77,454,1,651,0,0.78000784
104,78,272,1,381,0,0.55205095
105,78,272,1,382,0,0.36699414
107,80,30,1,47,0,0.3334378
108,82,655,1,941,0,0.28272167
109,83,428,1,623,0,0.2818303
111,84,404,1,567,0,0.48181367
112,85,279,1,391,0,0.8833429
113,86,265,1,371,0,0.9472278
114,88,715,1,1028,0,0.027383722
115,88,715,1,1029,0,0.91775227
116,93,923,1,1333,0,0.12152453
117,94,55,1,81,0,0.74784774
118,94,55,1,82,0,0.89652073
119,96,305,1,419,0,0.1679298
120,96,305,1,420,0,0.33146322
121,96,305,1,421,0,0.37815663
122,97,396,1,554,0,0.34684896
123,97,396,1,555,0,0.5162557
124,97,396,1,556,0,0.008994027
125,98,711,1,1024,0,0.4226782
126,98,711,1,1025,0,0.8776577
127,99,677,1,975,0,0.08740515
128,101,782,1,1136,0,0.4840848
131,103,431,1,627,0,0.96455956
132,104,19,1,31,0,0.70709646
135,105,712,1,1026,0,0.3475348
139,106,51,1,77,0,0.86670977
141,107,669,1,959,0,0.2903237
142,107,669,1,960,0,0.8623911
143,107,669,1,961,0,0.60084784
145,107,669,1,963,0,0.055602577
146,107,669,1,964,0,0.7628727
149,108,574,1,826,0,0.99350417
150,108,574,1,827,0,0.7760131
151,109,261,1,366,0,0.8682709
152,110,175,1,257,0,0.47715825
154,111,647,1,925,0,0.5339773
155,111,647,1,926,0,0.42583188
156,111,647,1,927,0,0.1630296
157,114,860,1,1250,0,0.16587757
158,114,860,1,1251,0,0.25815016
159,114,860,1,1252,0,0.9430916
160,115,125,1,171,0,0.9868069
161,116,701,1,1008,0,0.7036664
162,119,898,1,1306,0,0.7231574
163,119,898,1,1307,0,0.7324978
164,120,146,1,208,0,0.5173955
165,120,146,1,209,0,0.17742631
166,120,146,1,210,0,0.8776462
168,121,526,1,744,0,0.7095345
170,122,492,1,703,0,0.9799982
172,122,492,1,705,0,0.7575695
173,123,352,1,495,0,0.6166185
174,123,352,1,496,0,0.11488907
175,124,188,1,277,0,0.31598848
176,126,844,1,1230,0,0.0677339
178,127,410,1,580,0,0.022070399
179,127,410,1,581,0,0.5372867
180,128,857,1,1245,0,0.17761211
181,128,857,1,1246,0,0.1469949
182,129,102,1,143,0,0.16584449
183,129,102,1,144,0,0.87695396
185,131,425,1,613,0,0.34090048
187,131,425,1,615,0,0.5459749
188,131,425,1,616,0,0.30333114
189,131,425,1,617,0,0.3706517
191,133,717,1,1032,0,0.12024657
192,135,581,1,833,0,0.7582212
195,136,629,1,899,0,0.4373047
199,140,328,1,459,0,0.4139833
200,141,399,1,560,0,0.619931
202,143,181,1,265,0,0.21972537
203,143,181,1,266,0,0.2038287
204,143,181,1,267,0,0.9811735
205,143,181,1,268,0,0.044549882
206,144,296,1,410,0,0.2153185
207,145,99,1,140,0,0.031399235
208,147,643,1,921,0,0.63953525
210,148,82,1,121,0,0.3455215
211,150,236,1,329,0,0.036354523
212,150,236,1,330,0,0.43501043
213,151,706,1,1018,0,0.17132863
214,151,706,1,1019,0,0.42672423
216,152,763,1,1106,0,0.22108634
218,152,763,1,1108,0,0.69261503
220,154,417,1,594,0,0.39968532
221,154,417,1,595,0,0.10903989
222,154,417,1,596,0,0.60303855
223,155,54,1,80,0,0.50415194
224,156,335,1,471,0,0.9053811
225,156,335,1,472,0,0.9689099
226,156,335,1,473,0,0.8095953
227,157,392,1,550,0,0.86669624
229,158,938,1,1359,0,0.37378222
230,158,938,1,1360,0,0.4789902
231,159,875,1,1268,0,0.53124255
232,159,875,1,1269,0,0.8176968
233,160,156,1,230,0,0.15100636
235,164,319,1,448,0,0.90598977
237,166,92,1,133,0,0.28786325
238,167,965,1,1396,0,0.8422146
239,168,535,1,759,0,0.65186787
240,168,535,1,760,0,0.96546495
241,168,535,1,761,0,0.64208376
243,170,225,1,315,0,0.8268484
244,170,225,1,316,0,0.674668
246,170,225,1,318,0,0.2135332
247,171,169,1,248,0,0.8630297
249,171,169,1,250,0,0.68643576
250,172,644,1,922,0,0.43537572
251,173,559,1,802,0,0.45934877
253,175,542,1,775,0,0.8223224
254,176,340,1,481,0,0.31144947
255,176,340,1,482,0,0.33713344
256,178,774,1,1124,0,0.071601905
257,179,540,1,771,0,0.62462705
258,180,661,1,949,0,0.77861214
259,181,397,1,557,0,0.5110413
260,181,397,1,558,0,0.4777099
263,183,358,1,503,0,0.54091835
265,185,693,1,999,0,0.3663077
267,186,336,1,474,0,0.45681518
269,188,484,1,694,0,0.9768903
271,188,484,1,696,0,0.75278914
272,189,889,1,1292,0,0.0782532
274,192,248,1,343,0,0.15200032
275,192,248,1,344,0,0.12495629
276,193,480,1,688,0,0.2764363
278,194,130,1,176,0,0.48528567
281,195,919,1,1326,0,0.59703124
282,195,919,1,1327,0,0.7419593
283,195,919,1,1328,0,0.97875386
284,195,919,1,1329,0,0.55415994
286,198,821,1,1203,0,0.9519661
287,200,955,1,1386,0,0.21239536
288,200,955,1,1387,0,0.06637992
290,201,371,1,518,0,0.7444334
291,201,371,1,519,0,0.2609691
292,203,205,1,296,0,0.1122383
293,204,416,1,592,0,0.94338757
294,204,416,1,593,0,0.6835894
295,205,533,1,755,0,0.9581797
298,207,700,1,1004,0,0.13678877
300,207,700,1,1006,0,0.1641652
301,207,700,1,1007,0,0.80235213
302,208,673,1,969,0,0.2116831
303,210,788,1,1146,0,0.86291933
304,210,788,1,1147,0,0.056674577
305,211,800,1,1169,0,0.38141742
306,212,768,1,1115,0,0.401931
307,212,768,1,1116,0,0.9762421
308,213,511,1,725,0,0.8977273
309,213,511,1,726,0,0.38445184
310,214,932,1,1350,0,0.42468283
311,215,469,1,677,0,0.7151454
312,215,469,1,678,0,0.64011437
313,217,966,1,1397,0,0.8941525
316,218,509,1,721,0,0.90068424
317,218,509,1,722,0,0.3309923
319,219,73,1,110,0,0.35143247
320,223,6,1,6,0,0.4895119
321,223,6,1,7,0,0.034729425
322,223,6,1,8,0,0.45290676
323,224,61,1,91,0,0.31661758
324,225,719,1,1037,0,0.24318504
325,226,831,1,1219,0,0.24742694
326,227,610,1,873,0,0.7975441
327,228,372,1,520,0,0.38559106
328,229,549,1,788,0,0.9807439
329,229,549,1,789,0,0.41275185
330,230,150,1,215,0,0.69770736
331,230,150,1,216,0,0.3053727
332,231,733,1,1057,0,0.8264959
333,231,733,1,1058,0,0.21306993
336,232,637,1,911,0,0.12935613
337,235,998,1,1444,0,0.7505955
338,236,853,1,1240,0,0.43151575
339,236,853,1,1241,0,0.12594521
340,236,853,1,1242,0,0.5362137
341,237,997,1,1442,0,0.48832223
342,237,997,1,1443,0,0.50525063
343,239,676,1,972,0,0.7124996
344,239,676,1,973,0,0.066531636
346,240,510,1,723,0,0.05160447
347,240,510,1,724,0,0.9760919
349,242,602,1,860,0,0.16918527
352,243,116,1,163,0,0.35458884
353,244,999,1,1445,0,0.04748799
355,245,869,1,1260,0,0.73140895
356,245,869,1,1261,0,0.121870175
357,246,764,1,1109,0,0.7769846
358,246,764,1,1110,0,0.42708218
359,246,764,1,1111,0,0.80232793
361,247,86,1,126,0,0.90234673
362,248,129,1,174,0,0.7272623
363,249,972,1,1410,0,0.048221204
364,249,972,1,1411,0,0.47924843
365,250,653,1,936,0,0.06553107
370,254,543,1,778,0,0.1763649
372,255,240,1,334,0,0.38576263
374,257,38,1,61,0,0.654324
375,257,38,1,62,0,0.9741268
376,257,38,1,63,0,0.68248785
377,258,597,1,846,0,0.22106476
380,260,114,1,160,0,0.29468882
382,262,884,1,1284,0,0.0663074
384,262,884,1,1286,0,0.15167087
385,262,884,1,1287,0,0.33392397
386,263,803,1,1172,0,0.9658271
387,263,803,1,1173,0,0.5336973
388,263,803,1,1174,0,0.6926838
389,264,858,1,1247,0,0.28759667
390,265,131,1,179,0,0.66606015
391,267,318,1,443,0,0.16305621
394,267,318,1,446,0,0.7295521
395,269,556,1,798,0,0.46222326
397,271,749,1,1088,0,0.7422896
398,271,749,1,1089,0,0.3978521
399,271,749,1,1090,0,0.4325007
402,274,692,1,998,0,0.46043783
403,276,411,1,582,0,0.6044958
404,276,411,1,583,0,0.14986554
406,276,411,1,585,0,0.1625543
407,277,931,1,1346,0,0.80859405
408,277,931,1,1347,0,0.57270485
410,277,931,1,1349,0,0.41735616
411,278,751,1,1091,0,0.65837026
413,281,516,1,732,0,0.3034303
414,281,516,1,733,0,0.16221139
415,282,155,1,228,0,0.66848814
416,282,155,1,229,0,0.12109474
417,283,167,1,243,0,0.49848896
419,283,167,1,245,0,0.16783583
420,283,167,1,246,0,0.8133471
421,283,167,1,247,0,0.24382244
424,285,631,1,903,0,0.21071757
425,286,799,1,1168,0,0.71401876
426,288,59,1,88,0,0.61869854
427,289,529,1,747,0,0.9489408
428,290,135,1,184,0,0.85134226
429,291,67,1,100,0,0.3061041
430,291,67,1,101,0,0.8609817
432,293,334,1,469,0,0.8534509
433,293,334,1,470,0,0.14500134
437,297,278,1,390,0,0.40294617
438,298,687,1,992,0,0.3774722
441,300,382,1,540,0,0.35585532
442,301,260,1,365,0,0.88043517
443,302,154,1,227,0,0.12366673
445,304,247,1,342,0,0.5853549
446,305,752,1,1092,0,0.72897285
447,306,37,1,60,0,0.6552194
448,308,953,1,1383,0,0.4265322
450,308,953,1,1385,0,0.7099946
451,309,370,1,516,0,0.38157725
452,310,63,1,94,0,0.4280146
453,310,63,1,95,0,0.35450524
454,310,63,1,96,0,0.77753246
455,310,63,1,97,0,0.14298017
456,313,694,1,1001,0,0.81551844
459,317,297,1,411,0,0.9424117
460,317,297,1,412,0,0.9578117
461,318,667,1,956,0,0.96860516
462,318,667,1,957,0,0.10090176
464,319,791,1,1149,0,0.92084205
465,319,791,1,1150,0,0.008866413
467,321,434,1,635,0,0.45950586
468,322,108,1,153,0,0.2780447
470,324,681,1,983,0,0.5362087
