GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
1,727,1,1050,0,0.22733602
2,678,1,976,0,0.31675833
2,678,1,977,0,0.7973655
3,138,1,189,0,0.6762547
3,138,1,190,0,0.39110956
3,138,1,191,0,0.33281392
8,855,1,1243,0,0.59830874
9,387,1,546,0,0.18673418
12,869,1,1260,0,0.672756
12,869,1,1261,0,0.94180286
15,382,1,539,0,0.24824572
15,382,1,540,0,0.94888115
17,219,1,309,0,0.66723746
17,219,1,310,0,0.095897935
18,331,1,462,0,0.44183967
18,331,1,463,0,0.8864799
18,331,1,464,0,0.6974535
19,526,1,744,0,0.32647288
19,526,1,745,0,0.73392814
20,368,1,513,0,0.22013496
21,534,1,756,0,0.08159457
21,534,1,757,0,0.1598956
21,534,1,758,0,0.3401002
22,953,1,1383,0,0.46519315
22,953,1,1384,0,0.26642102
22,953,1,1385,0,0.8157764
24,651,1,933,0,0.19329439
24,651,1,934,0,0.12946908
26,390,1,548,0,0.091664754
26,390,1,549,0,0.598568
27,409,1,579,0,0.85474193
29,197,1,288,0,0.60162127
30,270,1,380,0,0.93198836
31,610,1,873,0,0.72478133
33,581,1,833,0,0.8605513
33,581,1,834,0,0.9293378
34,839,1,1225,0,0.54618603
34,839,1,1226,0,0.937673
35,814,1,1190,0,0.49498793
35,814,1,1191,0,0.2737732
36,652,1,935,0,0.4517787
39,810,1,1184,0,0.66503894
39,810,1,1185,0,0.33089092
41,987,1,1429,0,0.903454
42,340,1,481,0,0.25707418
42,340,1,482,0,0.33982834
43,71,1,107,0,0.2588534
45,914,1,1321,0,0.3554465
46,828,1,1215,0,0.005022334
46,828,1,1216,0,0.62860453
46,828,1,1217,0,0.2823827
47,990,1,1432,0,0.06808769
49,285,1,400,0,0.616829
50,201,1,293,0,0.17632632
52,213,1,306,0,0.30438837
52,213,1,307,0,0.44088683
53,622,1,891,0,0.15020233
54,425,1,612,0,0.21792886
54,425,1,613,0,0.4743331
54,425,1,614,0,0.47636884
54,425,1,615,0,0.25523236
54,425,1,616,0,0.29756528
54,425,1,617,0,0.27906713
55,312,1,432,0,0.2605792
57,667,1,956,0,0.4827616
57,667,1,957,0,0.21197903
57,667,1,958,0,0.4956306
58,465,1,672,0,0.24626133
58,465,1,673,0,0.8384827
58,465,1,674,0,0.18013059
59,344,1,486,0,0.8621563
61,147,1,212,0,0.17829944
62,505,1,718,0,0.7505313
63,297,1,411,0,0.6111204
63,297,1,412,0,0.20915504
64,449,1,647,0,0.75987244
64,449,1,648,0,0.24926057
65,813,1,1189,0,0.08557173
66,269,1,379,0,0.6180567
68,107,1,150,0,0.53696835
68,107,1,151,0,0.6345267
68,107,1,152,0,0.1743741
69,881,1,1276,0,0.24816449
71,305,1,419,0,0.684823
71,305,1,420,0,0.08087165
71,305,1,421,0,0.8750736
72,617,1,881,0,0.42869437
72,617,1,882,0,0.6183942
73,607,1,866,0,0.3131055
73,607,1,867,0,0.17896286
73,607,1,868,0,0.009712128
73,607,1,869,0,0.21004295
73,607,1,870,0,0.87000066
74,647,1,925,0,0.9728298
74,647,1,926,0,0.44179234
74,647,1,927,0,0.3787495
75,435,1,636,0,0.2759471
76,586,1,837,0,0.9661041
77,49,1,72,0,0.058202606
