,GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
0,1,923,1,1333,2,0.16791892
1,2,931,1,1346,2,0.17503482
2,2,931,1,1347,2,0.027667997
3,2,931,1,1349,2,0.97788626
4,4,539,1,767,2,0.08640451
5,4,539,1,769,2,0.880326
6,4,539,1,770,2,0.18183339
7,5,401,1,562,2,0.55006486
8,5,401,1,563,2,0.69818705
9,7,96,1,136,2,0.5721883
10,8,833,1,1222,2,0.980591
11,9,130,1,176,2,0.1028223
12,10,348,1,489,2,0.024553925
13,10,348,1,490,2,0.07535944
14,11,252,1,348,2,0.62982845
15,12,705,1,1014,2,0.13500546
16,12,705,1,1015,2,0.57708627
17,12,705,1,1016,2,0.71362066
18,12,705,1,1017,2,0.45199266
19,13,623,1,892,2,0.33967826
20,14,832,1,1220,2,0.4502712
21,15,693,1,999,2,0.36558712
22,18,303,1,416,2,0.49407753
23,18,303,1,417,2,0.22593525
24,19,158,1,232,2,0.4156082
25,20,785,1,1141,2,0.82869434
26,22,274,1,384,2,0.79377717
27,22,274,1,385,2,0.20808356
28,23,643,1,921,2,0.90453523
29,24,49,1,73,2,0.74228853
30,26,193,1,284,2,0.8943567
31,26,193,1,285,2,0.9328189
32,28,324,1,454,2,0.8208732
33,32,648,1,928,2,0.6446558
34,33,15,1,24,2,0.24601164
35,35,814,1,1190,2,0.9544364
36,35,814,1,1191,2,0.6430254
37,36,7,1,9,2,0.2178653
38,36,7,1,10,2,0.30333972
39,36,7,1,11,2,0.32926252
40,38,536,1,763,2,0.73118335
41,38,536,1,764,2,0.29018414
42,40,396,1,554,2,0.27833325
43,40,396,1,555,2,0.32189846
44,40,396,1,556,2,0.9198632
45,41,344,1,486,2,0.6693009
46,43,404,1,567,2,0.38005304
47,44,182,1,269,2,0.011067666
48,44,182,1,270,2,0.6334265
49,45,520,1,738,2,0.78731066
50,46,608,1,871,2,0.854975
51,46,608,1,872,2,0.5079048
52,47,423,1,606,2,0.740369
53,47,423,1,607,2,0.1694295
54,48,31,1,49,2,0.37728146
55,48,31,1,50,2,0.8757327
56,49,389,1,547,2,0.81279147
57,50,447,1,646,2,0.2574152
58,52,904,1,1310,2,0.055210143
59,53,938,1,1359,2,0.9460842
60,53,938,1,1360,2,0.35038993
61,54,893,1,1298,2,0.054504216
