RP,Loss_gen,ReturnPeriod,Loss_expected,Loss_Diff,Percent_Diff
1000.0,590426.0,1000.0,590426.0,0.0,0.0
500.0,431396.0,500.0,431396.0,0.0,0.0
333.333333,344162.0,333.333333,344162.0,0.0,0.0
250.0,341868.0,250.0,341868.0,0.0,0.0
200.0,341868.0,200.0,341868.0,0.0,0.0
166.666667,310000.0,166.666667,310000.0,0.0,0.0
142.857143,310000.0,142.857143,310000.0,0.0,0.0
125.0,310000.0,125.0,310000.0,0.0,0.0
111.111111,310000.0,111.111111,310000.0,0.0,0.0
100.0,310000.0,100.0,310000.0,0.0,0.0
90.909091,310000.0,90.909091,310000.0,0.0,0.0
83.333333,310000.0,83.333333,310000.0,0.0,0.0
76.923077,310000.0,76.923077,310000.0,0.0,0.0
71.428571,310000.0,71.428571,310000.0,0.0,0.0
66.666667,280426.0,66.666667,280426.0,0.0,0.0
62.5,280426.0,62.5,280426.0,0.0,0.0
58.823529,243660.0,58.823529,243660.0,0.0,0.0
55.555556,243660.0,55.555556,243660.0,0.0,0.0
52.631579,243660.0,52.631579,243660.0,0.0,0.0
50.0,214768.0,50.0,214768.0,0.0,0.0
47.619048,213900.0,47.619048,213900.0,0.0,0.0
45.454545,212660.0,45.454545,212660.0,0.0,0.0
43.478261,212660.0,43.478261,212660.0,0.0,0.0
41.666667,212660.0,41.666667,212660.0,0.0,0.0
40.0,185132.0,40.0,185132.0,0.0,0.0
38.461538,183768.0,38.461538,183768.0,0.0,0.0
37.037037,182900.0,37.037037,182900.0,0.0,0.0
35.714286,182900.0,35.714286,182900.0,0.0,0.0
34.482759,182900.0,34.482759,182900.0,0.0,0.0
33.333333,182900.0,33.333333,182900.0,0.0,0.0
32.258065,182775.996094,32.258065,182776.0,0.0039059999980963767,2.137042107043179e-06
31.25,153264.0,31.25,153264.0,0.0,0.0
30.30303,153264.0,30.30303,153264.0,0.0,0.0
29.411765,151900.0,29.411765,151900.0,0.0,0.0
28.571429,151900.0,28.571429,151900.0,0.0,0.0
27.777778,151900.0,27.777778,151900.0,0.0,0.0
27.027027,151900.0,27.027027,151900.0,0.0,0.0
26.315789,151900.0,26.315789,151900.0,0.0,0.0
25.641026,151900.0,25.641026,151900.0,0.0,0.0
25.0,151900.0,25.0,151900.0,0.0,0.0
24.390244,122759.992188,24.390244,122759.992188,0.0,0.0
23.809524,122759.992188,23.809524,122759.992188,0.0,0.0
23.255814,121396.0,23.255814,121396.0,0.0,0.0
22.727273,121396.0,22.727273,121396.0,0.0,0.0
22.222222,121396.0,22.222222,121396.0,0.0,0.0
21.73913,121396.0,21.73913,121396.0,0.0,0.0
21.276596,121396.0,21.276596,121396.0,0.0,0.0
20.833333,121396.0,20.833333,121396.0,0.0,0.0
20.408163,121396.0,20.408163,121396.0,0.0,0.0
20.0,121396.0,20.0,121396.0,0.0,0.0
19.607843,121396.0,19.607843,121396.0,0.0,0.0
19.230769,95604.0,19.230769,95604.0,0.0,0.0
18.867925,95604.0,18.867925,95604.0,0.0,0.0
18.518519,93247.996094,18.518519,93248.0,0.0039059999980963767,4.1888299606555364e-06
18.181818,93247.996094,18.181818,93248.0,0.0039059999980963767,4.1888299606555364e-06
17.857143,93247.996094,17.857143,93248.0,0.0039059999980963767,4.1888299606555364e-06
17.54386,90891.992188,17.54386,90891.992188,0.0,0.0
17.241379,90891.992188,17.241379,90891.992188,0.0,0.0
16.949153,90891.992188,16.949153,90891.992188,0.0,0.0
16.666667,90891.992188,16.666667,90891.992188,0.0,0.0
16.393443,79670.0,16.393443,79670.0,0.0,0.0
16.129032,63736.0,16.129032,63736.0,0.0,0.0
15.873016,63736.0,15.873016,63736.0,0.0,0.0
15.625,63736.0,15.625,63736.0,0.0,0.0
15.384615,63736.0,15.384615,63736.0,0.0,0.0
15.151515,63736.0,15.151515,63736.0,0.0,0.0
14.925373,63736.0,14.925373,63736.0,0.0,0.0
14.705882,63736.0,14.705882,63736.0,0.0,0.0
14.492754,63736.0,14.492754,63736.0,0.0,0.0
14.285714,63736.0,14.285714,63736.0,0.0,0.0
14.084507,63736.0,14.084507,63736.0,0.0,0.0
13.888889,63736.0,13.888889,63736.0,0.0,0.0
13.69863,63736.0,13.69863,63736.0,0.0,0.0
13.513514,63736.0,13.513514,63736.0,0.0,0.0
13.333333,63736.0,13.333333,63736.0,0.0,0.0
13.157895,63736.0,13.157895,63736.0,0.0,0.0
12.987013,63736.0,12.987013,63736.0,0.0,0.0
12.820513,63736.0,12.820513,63736.0,0.0,0.0
12.658228,63736.0,12.658228,63736.0,0.0,0.0
12.5,63736.0,12.5,63736.0,0.0,0.0
12.345679,63736.0,12.345679,63736.0,0.0,0.0
12.195122,63736.0,12.195122,63736.0,0.0,0.0
